item_id,qud,cue
1,He is a fluffy lamb sometimes at work.,met
2,He is an innocent lamb sometimes at work.,lit
3,He is a real lamb sometimes at work.,stance
4,She is a monarch butterfly sometimes at parties.,met
5,She is a social butterfly sometimes at parties.,lit
6,She is a real butterfly sometimes at parties.,stance
7,He is a gray wolf sometimes at school.,met
8,He is a lone wolf sometimes at school.,lit
9,He is a real wolf sometimes at school.,stance
10,She is a fruit bat sometimes in the morning.,met
11,She is a blind bat sometimes in the morning.,lit
12,She is a real bat sometimes in the morning.,stance
13,He is a mountain lion sometimes during matches.,met
14,He is a brave lion sometimes during matches.,lit
15,He is a real lion sometimes during matches.,stance
16,She is a honey bee sometimes in the evening.,met
17,She is a working bee sometimes in the evening.,lit
18,She is a real bee sometimes in the evening.,stance
19,He is a stray dog sometimes during meetings.,met
20,He is a top dog sometimes during meetings.,lit
21,He is a real dog sometimes during meetings.,stance
22,She is a free-range chicken sometimes on the weekends.,met
23,She is a spring chicken sometimes on the weekends.,lit
24,She is a real chicken sometimes on the weekends.,stance
25,He is a field mouse sometimes over lunch.,met
26,He is a quiet mouse sometimes over lunch.,lit
27,He is a real mouse sometimes over lunch.,stance
28,She is a dairy cow sometimes during reunions.,met
29,She is a fat cow sometimes during reunions.,lit
30,She is a real cow sometimes during reunions.,stance
31,He is a sewer rat sometimes during breakfast.,met
32,He is a disgusting rat sometimes during breakfast.,lit
33,He is a real rat sometimes during breakfast.,stance
34,She is a speckled hen sometimes during meetings.,met
35,She is a mother hen sometimes during meetings.,lit
36,She is a real hen sometimes during meetings.,stance
37,He is a furry weasel sometimes during games.,met
38,He is a devious weasel sometimes during games.,lit
39,He is a real weasel sometimes during games.,stance
40,She is a barn owl sometimes during discussions.,met
41,She is a wise owl sometimes during discussions.,lit
42,She is a real owl sometimes during discussions.,stance
43,He is a deadly snake sometimes during arguments.,met
44,He is a lying snake sometimes during arguments.,lit
45,He is a real snake sometimes during arguments.,stance
