item_id,qud,cue
1,He is an innocent lamb sometimes at work.,lit
2,She is a real butterfly sometimes at parties.,stance
3,He is a gray wolf sometimes at school.,met
4,She is a blind bat sometimes in the morning.,lit
5,He is a real lion sometimes during matches.,stance
6,She is a honey bee sometimes in the evening.,met
7,He is a top dog sometimes during meetings.,lit
8,She is a real chicken sometimes on the weekends.,stance
9,He is a field mouse sometimes over lunch.,met
10,She is a fat cow sometimes during reunions.,lit
11,He is a real rat sometimes during breakfast.,stance
12,She is a speckled hen sometimes during meetings.,met
13,He is a devious weasel sometimes during games.,lit
14,She is a real owl sometimes during discussions.,stance
15,He is a deadly snake sometimes during arguments.,met
16,She is just a small kitten who we adopted recently.,filler
17,She is the funniest poodle I have ever seen.,filler
18,She is the tallest ship in the entire fleet.,filler
19,He is the liveliest fish in the tropical aquarium.,filler
20,"She is a small sailboat, best taken out only on easy waters.",filler
21,He is a small dog who lives in the field behind my house.,filler
22,He is the friendliest doberman you'll ever meet.,filler
23,"She is my first car, a bright yellow Toyota with ugly seats.",filler
24,She is a well-loved Volvo and she needs a new paint job.,filler
25,She is a tiny ant who lives under my baseboard.,filler
26,I've got two best friends who I like to travel with.,filler
27,I'm always forgetting my glasses somewhere in the house.,filler
28,I have nearly 10 small animals living in my studio apartment.,filler
29,I'm considering adopting a ferret or other small animal.,filler
30,You are in need of a new job if you hate getting up in the morning.,filler
31,You should try getting out more to meet new people.,filler
32,You can always make a cup of tea in the microwave.,filler
33,You haven't lived until you've been snowboarding.,filler
34,Today we're all going down to the shore for a picnic.,filler
35,This afternoon we should take a drive in the countryside.,filler
36,They had been trying for hours and the plan wasn't going to work.,filler
37,The fruit stall was busy and had a selection of fresh fruit.,filler
38,The couple sat watching the youngsters play in the park.,filler
39,I read my book on the train to work every day.,filler
40,I saw a cat in the garden and tried to get its attention.,filler
41,A cold winter had killed everything in the garden.,filler
42,The boy ran into the classroom and threw his bag.,filler
43,Out of nowhere a ball came flying and smashed the window.,filler
44,He used to love reading all kinds of adventure stories.,filler
45,The horse was getting tired so we decided to stop for a rest.,filler
46,He didn't like the programme so decided to switch it off.,filler
47,She was thrilled by how much wildlife she could see.,filler
48,He was going to have to work hard to catch up.,filler
49,He was looking forward to reading all of the books.,filler
50,His arm had been broken and he would need an operation.,filler
51,She went to see the doctor as her symptoms were serious.,filler
52,He was going to be very late but he didn't care.,filler
53,The park has had lots of redevelopment in the past few years.,filler
54,She got home late to find her door wide open.,filler
55,The last thing she needed was more worry.,filler
